処理番号,営業日付,店舗名称,3rd Item No.,表記部門名1,StyleNo,商品名,ColorNo,ColorName,Size,数量,税抜単価,税単価,税込単価,税抜金額,税額,税込金額,上代,金種名,調整値引,客層名,拡張名,販売者,会員フラグ,会員番号
449333,2026/06/29,FJALLRAVEN by 3NITY 大丸心斎橋,RP010,Other,RP010,ショッパー(S),,,X,1,50,5,55,50,5,55,50,カード,,女性,IV,久保,0,
449334,2026/06/29,6142,23226452X,FJALLRAVEN,23226,HighCoastPocket,452,Lavender Mist,X,1,"5,000",500,"5,500","5,000",500,"5,500","5,000",カード,,男性,II,中尾,0,
449334,2026/06/29,6142,23223560X,FJALLRAVEN,23223,High Coast Hip Pack,560,Navy,X,1,"6,500",650,"7,150","6,500",650,"7,150","6,500",カード,,男性,II,中尾,0,
449335,2026/06/29,FJALLRAVEN STORE 名古屋ファッションワン,27248326X,FJALLRAVEN,27248,Vardag Pocket,326,Ox Red,X,1,"3,500",350,"3,850","3,500",350,"3,850","4,500",現金,,男性,III,清水,1,126724
449336,2026/06/29,6142,8689103046/S,FJALLRAVEN,86891,Vidda Pro Lite Trousers M,030,Dark Grey,46/S,1,"25,000","2,500","27,500","25,000","2,500","27,500","25,000",カード,,外国男性,II,中尾,0,
449337,2026/06/29,6142,23223550X,FJALLRAVEN,23223,High Coast Hip Pack,550,Black,X,1,"6,500",650,"7,150","6,500",650,"7,150","6,500",カード,,外国男性,II,中尾,0,
449338,2026/06/29,FJALLRAVEN POPUP NARITA,TNA036106110,TENNEN,TNA036,長尺注染手ぬぐい/麻の葉,106,Navy,110,1,"2,070",207,"2,277","2,070",207,"2,277","2,300",電子マネー,,男性,III,永山,0,
449339,2026/06/29,FJALLRAVEN STORE 名古屋ファッションワン,14600203550XS,FJALLRAVEN,14600203,Abisko Lite SS W,550,Black,XS,1,"6,375",638,"7,013","6,375",638,"7,013","7,500",カード,,女性,V,久保,1,135346
449339,2026/06/29,FJALLRAVEN STORE 名古屋ファッションワン,86989113S,FJALLRAVEN,86989,1960 Logo T-shirt LS W,113,Chalk White,S,1,"7,650",765,"8,415","7,650",765,"8,415","9,000",カード,,女性,V,久保,1,135346
449339,2026/06/29,FJALLRAVEN STORE 名古屋ファッションワン,13100240550L/XL,FJALLRAVEN,13100240,Fjallraven Flat Brim Cap,550,Black,L/XL,1,"7,400",740,"8,140","7,400",740,"8,140","7,400",カード,,女性,V,久保,1,135346
449339,2026/06/29,FJALLRAVEN STORE 名古屋ファッションワン,13100236555X,FJALLRAVEN,13100236,Fjallblomster Bandana,555,Dark Navy,X,1,"6,000",600,"6,600","6,000",600,"6,600","6,000",カード,,女性,V,久保,1,135346
449339,2026/06/29,FJALLRAVEN STORE 名古屋ファッションワン,23785334X,FJALLRAVEN,23785,Kanken Keyring,334,True Red,X,1,"1,500",150,"1,650","1,500",150,"1,650","1,500",カード,,女性,V,久保,1,135346
449339,2026/06/29,FJALLRAVEN STORE 名古屋ファッションワン,23785664X,FJALLRAVEN,23785,Kanken Keyring,664,Frost Green,X,1,"1,500",150,"1,650","1,500",150,"1,650","1,500",カード,,女性,V,久保,1,135346
449340,2026/06/29,FJALLRAVEN STORE 名古屋ファッションワン,87040357XS,FJALLRAVEN,87040,Ovik Travel Shirt SS W,357,Port,XS,1,"8,800",880,"9,680","8,800",880,"9,680","11,000",カード,,男性,V,久保,1,106623
449340,2026/06/29,FJALLRAVEN STORE 名古屋ファッションワン,14200222118S,FJALLRAVEN,14200222,Vardag Skirt W,118,Fossil,S,1,"15,200","1,520","16,720","15,200","1,520","16,720","19,000",カード,,男性,V,久保,1,106623
449340,2026/06/29,FJALLRAVEN STORE 名古屋ファッションワン,14200222620S,FJALLRAVEN,14200222,Vardag Skirt W,620,Green,S,1,"15,200","1,520","16,720","15,200","1,520","16,720","19,000",カード,,男性,V,久保,1,106623
449340,2026/06/29,FJALLRAVEN STORE 名古屋ファッションワン,1420022911834,FJALLRAVEN,14200229,Vardag Relaxed Trousers W,118,Fossil,34,1,"17,600","1,760","19,360","17,600","1,760","19,360","22,000",カード,,男性,V,久保,1,106623
449340,2026/06/29,FJALLRAVEN STORE 名古屋ファッションワン,1420022962034,FJALLRAVEN,14200229,Vardag Relaxed Trousers W,620,Green,34,1,"17,600","1,760","19,360","17,600","1,760","19,360","22,000",カード,,男性,V,久保,1,106623
449340,2026/06/29,FJALLRAVEN STORE 名古屋ファッションワン,14600264111-452S,FJALLRAVEN,14600264,Ovik Lite Flannel Shirt W,111-452,Lavender Mist-Eggshell,S,1,"15,200","1,520","16,720","15,200","1,520","16,720","19,000",カード,,男性,V,久保,1,106623
449340,2026/06/29,FJALLRAVEN STORE 名古屋ファッションワン,14600265452S,FJALLRAVEN,14600265,Abisko Wool Hoodie W,452,Lavender Mist,S,1,"15,600","1,560","17,160","15,600","1,560","17,160","19,500",カード,,男性,V,久保,1,106623
449340,2026/06/29,FJALLRAVEN STORE 名古屋ファッションワン,12600215550M,FJALLRAVEN,12600215,Hemp Blend T-shirt M,550,Black,M,1,"6,400",640,"7,040","6,400",640,"7,040","8,000",カード,,男性,V,久保,1,106623
449340,2026/06/29,FJALLRAVEN STORE 名古屋ファッションワン,12600317114M,FJALLRAVEN,12600317,Abisko Wool Hoodie M,114,Light Fossil,M,1,"15,600","1,560","17,160","15,600","1,560","17,160","19,500",カード,,男性,V,久保,1,106623
449340,2026/06/29,FJALLRAVEN STORE 名古屋ファッションワン,87039113S,FJALLRAVEN,87039,Ovik Travel Shirt SS M,113,Chalk White,S,1,"8,800",880,"9,680","8,800",880,"9,680","11,000",カード,,男性,V,久保,1,106623
449340,2026/06/29,FJALLRAVEN STORE 名古屋ファッションワン,87039534-555S,FJALLRAVEN,87039,Ovik Travel Shirt SS M,534-555,Indigo Blue-Dark Navy,S,1,"8,800",880,"9,680","8,800",880,"9,680","11,000",カード,,男性,V,久保,1,106623
449340,2026/06/29,FJALLRAVEN STORE 名古屋ファッションワン,12200219537M,FJALLRAVEN,12200219,Vardag Summer Shorts M,537,ULTRAMARINE,M,1,"11,200","1,120","12,320","11,200","1,120","12,320","14,000",カード,,男性,V,久保,1,106623
449340,2026/06/29,FJALLRAVEN STORE 名古屋ファッションワン,Hokkosai1200X,Other,Hokkosai1200,北狐祭手ぬぐい,,,X,1,600,60,660,600,60,660,"1,200",カード,,男性,V,久保,1,106623
449340,2026/06/29,FJALLRAVEN STORE 名古屋ファッションワン,FC500,Other,FC500,送料,,,X,1,500,50,550,500,50,550,500,カード,,男性,V,久保,1,106623
449340,2026/06/29,FJALLRAVEN STORE 名古屋ファッションワン,RP012,Other,RP012,ショッパー(L),,,X,1,50,5,55,50,5,55,50,カード,,男性,V,久保,1,106623
